Club,Title,Date,Time,Artists,Genre,Description,Venue,Ticket URL,Event URL,Score
Kaschemme,Housekeeping Vol. 03 - Trikot Special!,2026-07-18,,,house,"Am 19.07. laden wir euch ein zum Public Viewing des Viertelfinalspiels der Womens Euro mit anschliessender HOUSEKEEPING Party ab 23:00 Uhr. Come early, stay late! Eintritt mit Trikot die ganze Nacht 10.-, ohne ab 00:00 15.-Lineup: 𝗢𝗦𝗜𝗥𝗜𝗦, 𝗗𝗘𝗘 𝗝𝗔𝗬 𝗗𝗜𝗡𝗚𝗗𝗢𝗡𝗚𝗗𝗔𝗡, 𝗖̧𝗢𝗕𝗔𝗡-&gt; https://tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/7/19/housekeeping-vol-03-trikot-special,12
Kaschemme,ORO NEGRO presents: DJ MARCELLE,2026-11-27,,,,"Nach langer Abwesenheit ist 𝘋𝘑 𝘔𝘈𝘙𝘊𝘌𝘓𝘓𝘌 aus Amsterdam endlich wieder in Basel zu Gast! Wir haben ihre Sets sehr vermisst und freuen uns jetzt schon, wie 𝘋𝘑 𝘔𝘈𝘙𝘊𝘌𝘓𝘓𝘌 uns in der Kaschemme mit drei Plattenspielern in ihren Bann ziehen wird.Lineup: 𝗗𝗝 𝗠𝗔𝗥𝗖𝗘𝗟𝗟𝗘, 𝗧𝗪𝗘𝗥𝗞𝗜𝗡𝗚 𝗖𝗟𝗔𝗦𝗦 𝗛𝗘𝗥𝗢𝗘𝗦, 𝗙𝗥𝗔𝗡𝗖𝗘𝗦𝗖𝗢 𝗣𝗔𝗡𝗘𝗧𝗧𝗢𝗡𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/28/oro-negro-presents-dj-marcelle,12
Kaschemme,HITS N' SHITS / Vorweihnachtsfeierei,2025-12-05,,,,"Bevor der Weihnachtsstress losgeht, wird nochmal richtig gefeiert! 𝘋𝘑 𝘙𝘈𝘔𝘉𝘖 sorgt für den ultimativen Soundtrack der guten Laune: Hits ‘n’ Shits von damals bis heute – von ABBA bis Vengaboys, von Robbie Williams über Shakira, Nina Chuba und *NSYNC bis Dr. Alban &amp; Co. 💃🕺 Egal ob Klassiker, One-Hit-Wonder oder guilty pleasure – hier bleibt kein Tanzbein still.Lineup: &nbsp;𝗗𝗝 𝗥𝗔𝗠𝗕𝗢-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/12/6/hits-n-shits-vorweihnachtsfeierei,10
Kaschemme,RENDEZVOUS DER NACHT // 15 JAHRE KALEIKO,2025-12-11,,,hiphop,"Schon stolze 15 Jahre sind die Herren von 𝘒𝘈𝘓𝘌𝘐𝘒𝘖 auf Tritt und Trapp. 15 Jahre voller Geschichten, Gesichtern, Katern und Träumen ✨15 Jahre mit Euch, Dir und Mir. Also tanzt vorbei und trinkt für zwei, denn doppelt hält einfach besser!Lineup: 𝗞𝗔𝗟𝗘𝗜𝗞𝗢, 𝗠𝗜𝗞𝗛𝗨, 𝗛𝗘𝗥𝗥 𝗩𝗢𝗚𝗘𝗟, 𝗪𝗡𝗭𝗟-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/12/12/rendezvous-der-nacht-15-jahre-kaleiko,10
Kaschemme,FREE ALL ANTIFAS!,2025-12-12,,,,"Wir stellen uns Schulter an Schulter gegen die um sich greifende soziale Kälte und laden ein, zu einem solidarisch-antifaschistischen Abend.Lineup: 𝗔𝗕 + 𝗭𝗨 𝗦𝗜𝗡𝗚𝗧 𝗘𝗜𝗡 𝗟𝗜𝗘𝗗 𝘭𝘪𝘷𝘦, 𝗔𝗞𝗞𝗨𝗙𝗟𝗘𝗫𝗫𝟯𝟬𝟬𝟬 𝘭𝘪𝘷𝘦, 𝗛𝗔𝗦𝗖𝗛𝗜 &amp; 𝗔𝗤𝗩𝗔 𝘭𝘪𝘷𝘦, 𝗡𝗜𝗖𝗛𝗧𝗦 𝗗𝗘𝗦𝗧𝗢 𝗧𝗥𝗢𝗧𝗭 𝘭𝘪𝘷𝘦, 𝗭𝗔𝗕𝗔 𝗞𝗢𝗟𝗟𝗘𝗞𝗧𝗜𝗩, 𝗥𝗘𝗠𝗬𝗗𝗘𝗠𝗠𝗜, 𝗥𝗢𝗔𝗗 𝗥𝗔𝗚𝗘, 𝗦𝗧𝗘𝗔𝗠𝗬-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/1312/freeallantifas,10
Kaschemme,WUZA // WEEKENDER,2025-12-19,,,,"Ein Jahr voll Klang neigt sich dem Ende. Wir ziehen weiter, nach Basel – dorthin, wo der Raum stimmt und die Nächte ehrlich sind. Die Kaschemme, ein Ort, der uns kennt, der unseren Atem bereits gehört hat und uns wieder aufnimmt.Wir reisen nicht allein. Aus Berlin kommen die Vertrauten, Stimmen, die uns tragen. Dazu stossen lokale Funken, frisch, nah, neugierig. Gemeinsam ein Moment, kurz, aber wahr. Ein Wochenende, das den Kreis schliesst und doch Neues öffnet.Lineup: AMELI live, AVEM live, BAT...",,,https://www.kaschemme.ch/programm/2025/12/20/wuza-weekender,10
Kaschemme,SUPERSONIC //  X-MAS EDITION,2025-12-25,,,,"Die legendäre Kaschemme Post-Weihnachtsfeier ist zurück! Nach dem Weihnachtsstress braucht’s Party, also ab in die Kaschemme!Lineup: 𝗘𝗟𝗦𝗔 𝗪𝗨𝗥𝗭𝗘𝗟 𝗢𝗩𝗔, 𝗙𝗥𝗘𝗘𝗭𝗢, 𝗙𝗔𝗗𝗥𝗜 𝗯𝟮𝗯 𝗣𝗘𝗔𝗧𝗼́𝗡, 𝗠𝗜𝗦𝗦𝗜𝗠𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/12/26/supersonic-x-mas-edition,10
Kaschemme,NICA // OPEN AIR,2026-06-20,,,,"Im glitzernden Sonnenlicht und mit wundervollen Melodien im Ohr, tanzen an der frischen Luft! Das erste Openair des Jahres kitzelt die Synapsen mit Live Musik in verspielter Atmosphäre: Kommt und geniesst mit uns - wir feiern vom Nachmittag bis Mitternacht im Garten und anschliessend bis zum Sonnenaufgang im Club!Lineup:&nbsp;𝗙𝗟𝗜𝗘𝗗𝗘𝗥 𝘓𝘐𝘝𝘌 + 𝘋𝘑-𝘚𝘌𝘛, 𝗔𝗟𝗜𝗖𝗘 𝗛Ä𝗡𝗦𝗘𝗡𝗕𝗘𝗥𝗚𝗘𝗥, 𝗠𝗝𝗨𝗟𝗘𝗩, 𝗔𝗡𝗔𝗖𝗢, 𝗘𝗩𝗢𝗜𝗟𝗔 &amp; 𝗧𝗔𝗔𝗟𝗔-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2506/nicaopenair,10
Kaschemme,BASS &amp; BOUNCE,2026-06-25,,,bass,"Für den perfekten Start in die Sommerferien erwartet euch ein bouncy Line-Up dessen Bässe bis in die frühen Morgenstunden tanzen lassen - also pack deine Leute ein und mach dich bereit für eine Nacht voller Bass &amp; Bounce.Lineup: 𝗖 𝗟𝗘𝗦𝗦 b2b 𝗙𝗜𝗡𝟴𝟬𝟴, 𝗘𝗥𝗥𝗢𝗥, 𝗭𝗔𝗕𝗔-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2506/bassbounce,10
Kaschemme,EMO NIGHT - SUMMER AT THE DISCO,2026-07-11,,,emo,"Am 12. Juli 2025 wird die Kaschemme Basel zum sicheren Hafen für alle mit zu viel Gefühl und zu wenig Ventil. Ein Abend und eine Nacht für alle, die sich irgendwo zwischen Fernweh, Herzweh und Sommerhitze verlieren – und dabei vielleicht jemanden findenLineup: Sadboys Soundsystem, more tba soon.-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2507/emonight,10
